observed,location_details,county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed,year
"While Bow-hunting in Creve Coeur bottoms, I had been in my stand all day and had no luck. So I got down right before dusk and proceded to stalk along side a trail leading to the river. I had come to a point were the trail turns and runs parelell to the river.When I started around the turn something moved in the corner of my eye off to my right. My first thought was that I was going to scare up a deer, So I drew my Bow and tried to take aim on the area of movement, But what I saw was not a deer. At first, I thought it was a man in camo laying on the ground, That freaked me out, so I let off my Bow. However, I was trying to make out this ""person"" laying on the ground, on thier belly, When it raised up on it's right arm, turned the upper half of it's body, And looked at me. This was no person. It was to dark to see any features, But I could see two legs stretched out behind it, Two arms in front, A large torso, And a head. It seemed to be covered in greyish-brown from head to toe. No visible gear, Which struck me as odd, So I continued to try and figure out what this was. I stared at it, And it at me, When I felt the need to LEAVE. I did not feel threatened, Just that I had to go. As I began to leave and head back toward the levee, I kept thinking about turning back because I could not believe what had happened, But something made me go out of the woods. I have grown up in woods all my life, Have hunted in south-central and eastern  Missouri, And grew up only a few miles from here, But never before have I seen Something I could not explain. If this thing had stood up, It would easy have been a foot or more taller than Me.","This area was behind Chesterfield Golf  Club, and bordered up river by St. Louis County Water Works. This area is now fenced off and posted by Missouri Department of Conservation.",St. Louis County,Missouri,Fall,Report 10927: Bow hunter observes animal lying down in the Creve Coeur bottoms.,38.69428,-90.52987,2005-10-15,10927,Class A,9yzs5un4t0,72.81,56.645,40.48,44.6,0.6,0,0.44,0,0,NA,1019.28,Clear throughout the day.,5,9.93,334,1.78,2005
"Creature crossed small two lane paved road in front of vehicle late afternoon. No other vehicles in area, low volume road. Creature did not stop, but continued to cross the road and enter wooded area. My father is the witness, he described creature as tall, hairy {different shades of hair}, long arms, ape shaped face, with large stride, but almost limping.","Hilly terrain, rural area, sparsely populated area, approximately 7 miles to nearest populated area.",Ste. Genevieve County,Missouri,Spring,"Report 1150: Ape-like creature seen by a motorist crossing the road and enter a wooded area near Ozora, Missouri",37.8602,-90.0329,2000-05-31,1150,Class A,9yxzrk0p9k,89.33,77.62,65.91,60.39,0.54,0,0.93,NA,NA,rain,NA,Clear throughout the day.,11,9.65,184,7.61,2000
"It was July, 1978.  My family had just moved from Illinois to Cape Fair, Missouri a few weeks before. Our parents went back to Illinois for a funeral and my sisters (ages 16 & 14) and I (12 years old at the time) were there alone.  It was late at night around 11 or midnight when we all were startled by our dogs barking and growling on the porch.  Normally the dogs would go down to the driveway if they heard something.  This time they stayed on the porch looking towards the front yard barking and growling like I have never heard them do before.  What scared us was that the dogs were scared to go down off the porch. We turned all the lights off in the house and looked out the front windows and door to see if we could see headlights or something outside.  There was a flood light at the corner of the driveway that cast a light on the front yard.  The front yard was all uphill with a 5 ft barbed wire fence separating our yard from the pasture.  The front yard had huge black walnut trees spaced about 30-50 feet apart scattered around.  I was looking out the front window and saw a large figure standing partially behind a walnut tree.  I stared at it a few moments to focus in the dim light to see what it was.  I thought it was maybe a drunk camper who was lost.  You could walk down our back yard to the lake, so I thought maybe someone was looking for a way to the lake through our yard.  People would camp and fish very close by, so we thought somebody was lost.  All around our house it was dense forest and there was only one other house on our 1/2 mile road, so we were very isolated. My 16 yers old sister went to calm the dogs down.  The 14 year old and I were stioll looking out front.  Then after a few moments the figure dashed to the next tree about 50 feet away in about 3 or 4 strides.  I kept looking and before I could ask my 14 yr old sister if she saw that- she ran to the back porch to help my 16 yr old sister with the dogs.  By this time the dogs were freaking out.  Then I looked back to the front yard where I saw it go to another tree, then another tree-zigzagging its way up the hill towards the pasture.  Then to my amazement it cleared the barbed wire fence in one stride and was gone into the night.  My sisters were tending to the dogs so they didn't see all of what I saw.  My 14 year old sister said she saw something by the tree-but she never said anything more than that.  I don't know if they were trying to keep me from getting scared, but I think she saw it too.  I told my parents about it when they got home.  They just blew it off to a city kid seeing ""something"" in the country night.  While I lived there until 1984, I had heard stories of the ""Ozark Mountain Monster"" but thought it was just folklore. I did have several conversations with oldtimers from the area and heard stories of bigfoot sightings over the years, but never had the courage to ""go public"".  I am 37 now and do still believe to this day I saw a bigfoot.  I still get chills when I think about it and am having chills while I am typing this right now.  Too spooky!",NA,Stone County,Missouri,Summer,Report 6656: Teenagers observe animal hiding behind trees in yard near Cape Fair.,36.73,-93.51,2004-11-21,6656,Class B,9yt8bnkpg0,50.94,50.405,49.87,45.46,0.88,NA,0.34,NA,NA,rain,NA,Clear throughout the day.,0,NA,78,1.64,2004
"I was just a kid when I saw it.  I was sitting in the back of an old Chevy Citation at the time it was pretty new, my uncle was driving and my aunt was in the passenger seat and my little cousin who was around 4 or 5 at the time was sitting in the back with me, were coming home and I believe from visiting family or something.  My aunt & uncle lived down this old dirt road around 2 miles and right before their driveway which was on the left was and old dry branch or creek that ran across the road and it did not have a concrete slab to cross over it so you had to slow down a little to cross.  Directly to the right of the creek was an old driveway leading to an old abandoned house which no one had lived in for years.  It was dark so naturally we had the headlights on and as my uncle began slowing to pass over the rough gravel something in the corner of my right eye came into view.  My aunt kind of screamed but not loudly because we were amazed and terrified.  Something that looked to be around 8 foot tall, (I know as a 10-11 year old kid it was huge) came across the branch which led out of the old driveway and not running but walking briskly came directly in front the car.  We all just stared as it was some dream.  It was swinging it's arms a little and acted like we were not even there.  It walked across the creek and crossed the water gate which I don't remeber if it went under or over but what I do remeber is the branch had washed out the bank of my uncle's yard and his perimter fence was quite tall if you were staning in the branch and this bright red haired thing jumped over from the bed of the branch like nothing and into my uncles yard.  Mind you were still watching in the car.  We could see it walk up thru the yard and up the hill until we lost sight of it with the headlights.  My uncle turned into the drive and we had all locked the doors.  My aunt and uncle went thru the count of 3 thing and we open the doors and ran inside.  We got inside and my uncle got his hunting rifle out and went outside with his flood lite and looked for it and on his way back which he didn't walk far he tripped on the chord and it came unplugged then he yelled and got up and ran into the house and locked the door.  To this day if you ask him about what he saw he will say he saw something but he doesn't know what it was or that somebody was playing a joke on us.  My aunt will tell that she saw bigfoot and so will I.  My little cousin was to small to remeber much but I remeber and to this day I don't go out into the woods without a weapon.  To the best of my ability this is what it looked like.  It was around 7-8 foot tall, completly covered in red hair and 1 feature I remember is it looked like it's arms were almost as long as it's legs and that it was not afraid of us.  Also at that time there was a man I do not remember but lived in the area and was at the local store there in Souder, Mo. and was telling everyone he had seen bigfoot and no one believed him so none of us ever made much mention to it except to family or close friends.  But I believe. I know what I saw.","From 60 highway East from Springfield, Mo. take 5 Highway South to 95 Hwy. North and it is approx. 6 miles  then left county road.  Can't remember the # of the road.",Ozark County,Missouri,Winter,Report 5085: Family has nighttime sighting near Gainesville.,36.615,-92.425,2004-12-05,5085,Class A,9yw22cd1v6,46.78,46.78,46.78,37.91,0.87,0.6,0.78,0.0112,1,rain,1013.13,Rain in the afternoon and evening.,2,5.46,104,3.8,2004
"I was living at in Missouri at the time, about a mile from where my sighting took place. I was on my way home from a friends house on my bike about to head up the hill. I heard something off in the woods to my left and looked to see what it was. I was very used to being in the woods, having grown up around them all my life. I expected to see a deer or some other type of wildlife that I was so familiar with. But, I turned and saw what I still believe was bigfoot. It was a little less than a hundred yards away, and walking perpendicular to me. The strides that it took were amazing, so fluid. There was no real bobbing of the head like I have heard of from other sightings, and the arms didn't swing out as much as others have reported, it was very human like. It's body was covered in a brown hair, not a very dark brown though. It was more the color sandstone, that's the best thing I can think of to compare the color. I watched it walk for about a minute, I was to scared to move at all, so I was just kind of frozen there watching it. Then it stopped right beside a large birch tree. I was afraid that it had seen me and didn't know what it would do, so I turned to look up the hill and contemplate running up the hill towards my house or to turn and run back to my friends house. I decided that I was going to leave my bike and run back to my friends since it wasn't up hill to his house. I turned to look back and see where the creature was at and couldn't see it anymore. I believe it hid behind the large birch that it stopped beside. That's when I ran, I was so scared I just ran to my friends house and didn't even knock, I just ran inside and told them what had happened. I made his dad drive me home, we picked up my bike on the way. I never went down that road again on my bike, I never had the nerve to.","I can't remember the exact road name that I spotted it from. But I do know that it was right next to ""The Captians Fancy"" a resort that my mother was the manager of at the time, that's where I lived at. It was about a mile away from there.",Morgan County,Missouri,Summer,Report 5552: Youth bicyclist has daytime sighting near Gravois Mills.,38.3085,-92.8254,2004-11-20,5552,Class A,9yvcztye5m,50.73,47.415,44.1,45.19,0.85,0.99,0.3,3e-4,0.67,rain,NA,Overcast throughout the day.,2,9.79,325,0.99,2004
"Bigfoot standing in the middle of hwy 17. was 6 ft. tall or better very dark brown or black. It was looking down at the ground in a north west direction arms to it's side. It looked slim or gaunt. My brother was driving a feed truck back from Tuscumbia, Mo. going north on Hwy 17 about 2 miles from the Marys Home turn off. As he rounded a curve to the left was when he saw it in the road about 200 yds. ahead. He looked away for just a second and It was gone. When he got back to Jefferson City, Mo., in about 30 min, he called me and told me about it, and that he was taking another load down to meet him there. I did so. He showed the place and then he left to make his delivery. I walked up and down both sides of the road and found where somthing had walked up to the fence from the east. The grass was thick and mashed down but no imprints were left. I also noticed the cattal acting spooked. I am making this report for my brother, whom would not.",About 200 to 400 yds.south of Buster Rd. on Hwy 17 in the middle of the highway.,Miller County,Missouri,Spring,Report 8890: Truck driver has daylight sighting on country road near Marys Home.,38.305,-92.411,2004-12-05,8890,Class A,9yy3cjhqg9,47.82,47.955,48.09,36.34,0.83,0.54,0.78,0.007,1,rain,1011.89,"Rain starting in the afternoon, continuing until evening.",2,9.01,145,3.8,2004
"In the year of 2002/2003 around 3:00 am during the summertime I was leaving my girlfriend's house in Dover, Missouri which is located on the Missouri River bluffs. At the time there were only two houses located in that area on Coal Mine Road. One of the properties was owned by Kerr Orchard, which was in the midst of its apple season, and the other property was owned by the Dunkel family who raised livestock. I was driving (Blue Ford Escort ZX2) south on Coal Mine Road from my girlfriend's house on the gravel road approaching the S-curve. As I rounded the first half of the S-curve, my headlights lit up a large, dark, sparkly/reflective object with yellow eye glow in the middle of the road. I began to slow down my car, and the reflective object hurried to the side of the road still on all fours. As I got closer to the unknown object, initially I thought it was a black bear which is uncommon in this area. All of a sudden, the object stood up on two feet broadsided and froze as I continued to approach it in my car. At this time I observed an unknown creature that was fully covered in extremely long (approximately eight to ten inches long), matted hair. The hair was black and gray and fully covered the creature except for the chest/shoulder area where the creature's skin appeared to be much lighter. I could see large, pectoral muscles in the creature, and at this time I knew the unknown creature was a male. The creature had very broad shoulders and extremely long arms that hung down beyond its kneecaps. I could not see the face or hands because of the long hair covering its body. The creature appeared to be approximately eight feet tall and towered above my vehicle as I was about fifteen feet away from it still driving slowly down the gravel road. I would estimate him to be five hundred or more pounds and was solid muscle. When I passed him, I was so scared and down shifted my clutch to second almost killing my engine. As I continued my drive home to Lexington, Missouri, I could not believe what I had encountered. The next day I told my mom/dad and brothers about what I saw. Before the sighting I have driven home from that area in Dover, Missouri for 5 years and have never seen anything like it before.  There is no question about what I saw that night.  I know without a doubt I saw a male Bigfoot.  In my opinion, the Bigfoot I observed appeared to be a unknown giant Ape that has not been identified by scientist yet.",North on P highway from 24 highway.  Make a right on Dover Bluff Road and immediate left onto Coal Mine Road.,Lafayette County,Missouri,Summer,Report 62930: Law enforcement officers' face-to-face encounter outside Dover,39.1175,-93.4025,2003-07-11,62930,Class A,9yvwd947un,88.16,76.96000000000001,65.76,62.32,0.6,0.31,0.44,NA,NA,rain,1015.5,NA,8,8.427,242,5.06,2003
"I was living with my daughter and son-in-law while my new home was being built. They live just down the road from me. A friend of mine had asked me to drive her to Montana at that time, so we left and I was gone for at least a week.  When I returned, it was around 11:00 at night somewhere around the first part of October 2000. I parked my truck down next to the barn area and walked up towards the house.  Off to my immediate right I heard this hair raising guttural growl.  My mind was racing...was this one of my nephews bull cows, or was it a deer, but none of those fit anything like that sound. I thought my feet would never get me to the door of the house. This sound was done once again. I finally went in and told my family what I had heard. My son-in-law insisted that it must have been a bear. I have hunted all of my life and know all of the animal sounds, including a bear. The next morning I called the Conservation office, and they put a gentleman on the phone and I related to him what had happened. I even made a similance of the sound the best I could. He said that he and his wife go to Alaska all the time to study bear and he had never heard anything like that and it definitely wasn't a bear. The next night, my other daughter and I were upstairs getting ready for bed around 11:00 p.m again and had the windows open. I heard the same sound again out my bedroom window. I quickly turned out the lights, and my daughter crawled from her room to mine to see if she could also hear it. By then, the sound had stopped. Several days later in the eveming, my grandaughter, grandson, and I believe another grandson were playing outside the garage door which was raised up about 3 feet. They heard this loud guttural sound also very close to the same place I had heard it originally and rolled under the garage door as fast as possible. Since that time, several of my family have had some very scary encounters with this sound near their houses. We live in a very wooded cedar and hardwood area with a year round creek. I would like to relate all of these incidents, but they are fairly numerous. I would be glad to tell you, and introduce you to the ones who have had these various experiences. These creatures have lived in this area for many years. My youngest son who is in college now, was out hunting with his friend. They were both about 11 years old at the time, and were hunting up a powerline when they saw what they thought was person, but realized it had hair on it like a gorilla, and it was shaking a fairly good sized cedar tree, which we assume it was trying to shake something out of it. They both turned and left the woods very quickly.",[Details removed by witness request],Franklin County,Missouri,Fall,Report 20677: Resident describes possible vocalizations near Robertsville.,38.40685,-90.7,2002-10-09,20677,Class B,9yzd2pf20g,68.11,58.864999999999995,49.62,50.09,0.73,0.45,0.12,0,0,NA,1020.06,Overcast in the morning.,5,9.96,183,0.73,2002
"This happened about 1982, in the area of Steelville Missouri. We were camping on the Meremac River. The group consisted of myself, my wife, my son, my daughter and a friend and his wife. The place we camped was on an elderly ladies farm. There were about 5 other campsites, all about 30 yards apart, with our campsite being on the end and closest to where the woods became thick. There was a dirt road that went from our spot into the woods a short distance. While myself and my friend were gathering fire wood, my son...about 7 at the time, sat at the begining of the road playing in the dirt. My wife said all of a sudden he looked down the road, jumped up and made a bee line for her, all the time yelling "" Mommy a big black man. My friend and I heard him screaming and ran back to camp to see what was wrong. I know my son was young at the time, but I'd never seen him so upset. He kept repeating that he saw a big black man standing part way down the road. Now at the time, we lived in St. Louis and my son was used to seeing black people but he insisted this man was differant. After we calmed him down he told us the man was real tall. Way taller than me or my friend, who was about 6'2'. He also insisted the man wasn't wearing clothes but was covered with black hair. My friend and I were both armed and decided to take a look down the road. It was getting dark by then and we didn't see or hear anything out of the ordinary except it did smell like something dead was close. There was to be a huge meteore shower that night so we walked out into a pasture to have a clear view of the sky. The pasture bordered the woods on our left, with our camp and the river to our front. We hadn't been sitting there long when we heard something heavy walking around in the woods. At first we thought it might be a stray cow but the more we listened it sounded more like the way a man would move. What really got our attention was that all of a sudden we heard limbs snapping. Not small ones but big enough to sound like rifle shots. I'm a Vietnam Vet and a long time hunter. I've never heard anything move through woods like that. It spooked us enough that even though we were armed, both carrying .44 cal hand guns, we didn't venture into the woods to investigate. That ended our star gazeing and we spent most of the rest of the night sitting in camp with our pistols close at hand. The next day we found where something had bulldozed it's way through the heavy bush and left some good sized broken limbs and saplings in its wake, but to be honest we didn't look too close. Also the smell of something dead was gone. The rest of the camping trip was un eventfull though I did notice one thing. The lady who's land we were camping on was carrying a 12 gage shotgun every time we saw her. She even had it across her lap when she'd sit on her porch. Never knew her to do that before. She was of old hillbilly stock and not one to scare easy so I asked her about it. She just replied she wanted it close and would say no more. To sum it up, My son's insisting he saw a very big hairy black man, the way it frightened him,the noise that night and the broken trail of brush and limbs, the smell and the elderly ladies keeping her shotgun  close at hand, I have to wonder. Especially since I read, here on your site, of other bigfoot sightings in the area.","Can't remember the exact directions to get there,  my brother in law would know as he grew up in the area and has family there, but it's about mid way, on the river, between Meramec Springs and Onondaga Cave.",Crawford County,Missouri,Summer,Report 6775: Child has daylight sighting along Meramec River,38.11203,-91.1569,2004-12-05,6775,Class B,9yz0vdjddm,49.92,49.415,48.91,36.92,0.75,NA,0.78,0.0021,1,rain,NA,Drizzle in the morning and afternoon.,0,NA,180,6.94,2004
"I don't know what to think.  I have visited this website many, many times and was impressed by what I have read and the research you do.  I have to add what I have experienced. First a little background on me: I am 60 years old and work for the U.S. Government.  I have been camping for most of my life and was an Adult Boy Scout Leader and Trainer for approx. 20 years.  I have been hunting for over 30 years as well.  I know the animals that inhabit the woods in Missouri. I own 80 fenced acres of private property in the Mark Twain National Forest in Dent County Missouri.  I am bordered on the southeast 40 acres by a farm and on the northwest 40 acres by a farm.  The rest is all National Forest on all sides of my property.  On my property there is a wet weather creek that almost always has a little water in it.  My property is mostly oak forest with about 10 acres of open space that was once used for grazing cattle.  There is a pine foreset on the northeast side where an old logging road is our entrance to the property. I have heard some strange vocalizations since buying the property over 3 years ago.  I have heard the same or similar sounds or ""vocalizations"" on this website.  I know what bobcat, coyote, screech owls, barred owls and most other ""forest animals and birds"" sound like and these vocalizations don't sound like any of these.  I have also heard the banging of wood on trees in the woods around me at night. I was staying overnight at this ""farm/hunting cabin"" of mine on the weekend of 15-17 April 2005.  There was a 3/4 moon out and the nights were very clear and somewhat cool (about 48-52 degrees on Friday & Saturday nights) but I had the window cracked as I like to go to sleep to the ""night sounds"".  I had just gone to bed (about 10:30PM) on Friday night when I heard the ""night sounds"" completely stop.  About 4-5 minutes later I heard an incredibly loud screech or scream come from somewhere close and from the southwest of my ""farm/hunting cabin"" (probably within 200-300 yards at the most).  About 30 seconds later there was an answering vocalization from quite a ways off and to the southeast.  This repeated 4 different times.  Each time the vocalizations got closer together and the one closest to my cabin got farther away towards the southeast.  Between the 2nd and 3rd vocalizations I heard a banging like a board was being smacked against a tree.  There was 3 load bangs from close to me and then three (almost answering) bangs from the vocalization farther away.  After the 4th vocalization (which seemed very close to each other and farther from me) all the vocalizations and tree banging stopped.  About 3-4 minutes later the whippoorwills started in and the ""night sounds"" came back to the woods. On Saturday night it was very much like the night before except there were no vocalizations or tree banging, just the ""night sounds"" ceasing and about 3-4 minutes later the window right next to my bed (on the outside this window is about 4 feet from the ground to the bottom of the window and the window is 2' wide and 3' tall) went completely dark as if something stood outside and blocked out the moon and stars at the window.  This ""blackout"" only lasted for 2-5 seconds. I don't know exactly how long for sure as I was practically holding my breath and trying to be as quiet as possible.  I even reached for my pistol just to be safe.  I had the window slightly open and DID NOT smell anything special like I have read about.  I did smell what smelled like a wet dog and there were no dogs around that weekend.  I should know as I have 2 Labrador Retrievers and a Rottweiler, none of which where with me at the time.  I did go to the door, after the moonlight came back in through the window, and turned on the porch light to see if I could see what had blocked out the moonlight.  There was nothing there and there was not even a cloud in the night sky.  I was alone at the ""farm/hunting cabin"" doing some scouting for the upcoming Turkey season.  The next morning I looked under the window and as much as 10 feet away for any sign of footprints but there was nothing there.  The ground was covered by leaf clutter all around the ""farm/hunting cabin"" and I couldn't find any trace of footprints in the dry  leaves.  I don't know what this was but if someone wants to call me they can",Withheld at witness request.,Dent County,Missouri,Spring,Report 11453: Vocalizations and wood knocking in Mark Twain National Forest.,37.63169,-91.41383,2005-04-15,11453,Class B,9ywypfdkrr,78.74,NA,NA,31.71,0.27,NA,0.22,0,0,NA,NA,Clear throughout the day.,0,NA,79,2.07,2005
"Overview: Dates - Oct. 17 -20, 2002 Location - Douglas County, MO near Dora, MO - Mark Twain National Forest Campground off CC Highway, North Fork, Campsite #20 (Pine loop). Evidence - Loud calls, rock/boulder throwing, footprints, displaced log in middle of lower trail, multiple incidents. Witnesses - Myself and camping partner, Carl. No other campers were in the entire park on 10/17/02. Incident #1 10/17/02 approx 7:30-8:00 PM After eating dinner my camping partner and I were sitting in front of the large camp fire facing the stream (North Fork of the White river). It was an extremely quiet night. No crickets, or locusts or frogs/toads could be heard at all. It was very quite. We were talking and listening to music. Over the music I heard an animalistic sounding call out of my right ear. I heard it twice before I asked Carl if he heard it. To me it sounded about 150 - 200 yards away, upstream and on the opposite side of the stream up on the bluffs over looking the stream. He said, ""I hear something"". I jumped up and turned off the music. Immediately after turning off the music we both heard a similar call from downstream approximately 50-100 yards away. It sounded as though it was coming from the upper path running parallel to the stream. The campsite (#20 - Pine Loop) was unique as it was created in the middle of the upper trail. In other words, someone walking the trail would actually walk right in the middle of the campsite. The call was very unusual. It sounded initially somewhat canine. When I first heard the second call I was unsure of my original impression of the first call coming from upstream. Carl and I are both avid outdoor/camping enthusiasts. Carl 50-60 years old and has been an outdoorsman most of his life. I am 30-40 years old and have been camping many times as a child, with Carl twice per year for the last 10 years, and with my own family. We have both heard many identifiable animal calls while in the forest. This was an animal call that was unlike anything we had ever heard, or seen on any documentary or while camping. To describe the sound this animal made is difficult. It began the call as a canine type ""howl"" followed by a ""whoop"" or ""bark"" repeated several times. This was NOT a coyote or wolf. The pitch was much deeper and tonal quality gave the impression of something larger than a coyote or wolf. The animal made 2-3 of these ""howl/whoops"" and then was silent. During the silence Carl and I speculated as to the source. We immediately ruled out coyote and wolf as we had both heard those animals in the past. We heard no movement of the animal during the silence - but we were talking/whispering to each other and could have missed any movement sounds. 30-45 seconds after the downstream calls, what we believed to be the same animal let out a call the truly defies description. The animal was now almost directly in front of us if not slightly downstream. The sound appeared to come from the lower path running parallel to the stream just in front of us. This would make the animal approx 35 yards away between the campsite and the stream. The call was another ""howl/whoop"" combination repeated 2-3 times. It was so loud that the echo from behind me was almost equal to the original sound in volume. It was a ""blood curdling"" call. Clearly the animal was either posturing or warning us. I felt the call was directed specifically to us. The call was almost human - but would have had to be a very large tall human. The depth and volume of the call indicated to me an animal of a minimum of 150 - 200 pounds. For the first time in my 38 years, an animal call triggered my ""fight or flight response"". I immediately picked up a large knife and felt an almost over-whelming urge to loudly scream back into the darkness and to rush toward the sound. My adrenaline was pumping. I said to Carl that I felt the sound resembled a large human imitating a wolf. That the call was very ""exaggerated"" and was clearly meant to scare us. We speculated that someone might be playing a hoax on us. Carl responded that he felt this was a close description of the sound. Just as he said those words, not more than 5 seconds after the end of the loud call in front of us, we heard a second animal make the SAME call from 150 yeards or so UPSTREAM. When we heard the second animal make an identical call, we knew we were not dealing with a human prank. I am a musician. The second animal was not a human being. The second animal's tonal characteristics and depth matched the first animals almost identically. We humans have such different voices. I would have been able to differentiate the two human voices from each other if it was a prank. When we heard the second animal we knew we were hearing something neither of us could explain. It was NOT human, it was NOT a coyote or wolf, it could not be explained. The second animal seemed to be giving it's location to the first. The first animal seemed ""male"" or parental. The second animal seemed ""female"". Within 30 seconds, The first animal seemed to have moved from in front of us and was now approx 75 -100 yards upstream and on the opposite bank where it met up with the second animal. Both animals then gave 2-3 howling/whoops. Immediately following both animals began a series of completely different sounds. These were very spooky sounding. The sounds were very fast, gutteral and rising and falling in pitch. It sounded like a language to me. It sounded as though they were having a very emotional verbal argument. It was almost like a cross between a gorilla's grunt and a witch's cackle. Then it sounded as if both animals ran further up stream and over the bluff. The enitre series of calls lasted approximately 5-7 minutes. Incident #2 10/17/02 approx 9:45 -10:00 PM. I had gone into the tent to sleep at approx 9:30. Carl followed a little later - approx 10-15 minutes. Immediately after Carl entered the tent we heard one animal make the same ""howl/whoop"" combination 2-3 times and then silence. It appeared to come from the upstream direction about 100-150 yards away. Incident #3 10/18/02 appox 02:00 AM I was awakened by a very loud crashing sound. I heard the sound 2-3 times before I woke Carl up. The sound appeared to some from slightly upstream - maybe 20 yeards or less. The sound was VERY loud. It sounded as if very LARGE (minimum of 20 pound - possibly 100 pound or greater) boulders were being purposely thrown in the stream. The boulders were so large that the sound had to parts. The first was the object hitting the water, the second was the object hitting the river bed itself. It was a ""Splat-boom Boom"" cannon type sound. Carl had been snoring loudly (as do I) prior to waking up. This sound happened at least 12 times over a 5 minute period. I stated to Carl - ""This shows intelligence and strength"". I believe it was still trying to scare us off. Immediately after the last boulder impact we heard one of two animals make a very brief ""howl/whoop"" (1-2 times). It was as if the animal wanted to place his signature on the boulder throwing. Incident #4 10/18/02 While exploring the lower path 20 yards from our campsite, Carl discovered a large log blocking the path. This water soaked log was completely out of place. It did not come from any surrounding trees. When I attempted to pick it up it crumbled in my grasp. We did not see the log on the path on 10/17/02 - however it was dark and we could have missed it. It appeared to also be a ""message"" - as though something wanted to block our path downstream. Incident #5 10/19/02 10:00 AM While walking on the upper path downstream approx 40-75 yards from our campsite, Carl and I found 2 foot prints. They were approx 14 inches in length. The heel and ball of the print appeared very human like - very similar to ""Big Foot"" prints and casts I have seen in various medias. However, the toes were very different. The clearest print showed this to be a THREE-TOED Creature. I am NOT CRAZY. I could not believe only three toes. The toes were very human if not ""pod-like"" in appearance. We took several pictures of the clearest print. We did not have the materials to make a cast. Carl felt the print might not even lend itself to casting. We did get several pictures of the prints. We could not identify any other charateristics from the prints. I will say this - as with the loudest call from directly in front of us - I believe whatever made these prints is very large. A minimum of 6.5 feet tall and 250 pounds. More likely my ""instincts"" tell me it is 7-8 foot tall and 350-500 pounds. It appeared from the angle of the prints that the animal came down the trail and was alarmed/suprised/angry to see our camp blocking the middle of the trail. The trail was hard packed and yielded no prints. The prints found were just off the side of the trail and in very soft and somewhat wet soil.  Incident #6 Unlike the evening of 10/17/02. The evening of 10/18 and 10/19 brought scattered rain showers. Depsite the rain, the forest was NOT eerily quiet as it was on 10/17. Crickets, frogs, etc. were very loud on 10/18 and 10/19. Strange!","Mark Twain National Forest Campground along the North Fork in the Devil's Backbone recreation area just outside Dora, MO in Douglas County off route CC. Campite #20 in the ""Pine"" Loop.",Douglas County,Missouri,Fall,"Report 5123: Loud calls, rock/boulder throwing disturbs campers",36.7548,-92.1527,2004-11-19,5123,Class B,9yw3p502nr,55.5,52.835,50.17,49.19,0.91,0.87,0.26,0,0,NA,1016.06,Foggy in the morning.,2,6.81,204,1.68,2004
